test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim	rep	rd
ENRICH2_tests	0.07734670392898241	0.09871773795824428	0.0450435640309058	0.7788919940818675	0	0.3680322364002686	0.4393090569561158	0.005	sim6	rep3	rd1
DIMSUM_tests	0.03402926187736314	0.14203518000986357	1.643925694558606e-4	0.8237711655433174	0	0.0048076923076923	0.19327731092436976	0.005	sim6	rep3	rd1
EDGER_tests	0	0.1760644418872267	0	0.8239355581127733	0	NA	0	0.005	sim6	rep3	rd1
LIMMA_tests	0	0.1760644418872267	0	0.8239355581127733	0	NA	0	0.005	sim6	rep3	rd1
ROSACE_tests	0.1195955942791386	0.05646884760808812	0.00986355416735163	0.8140720039454217	0	0.07619047619047618	0.6792717086834734	0.01	sim6	rep3	rd1
SLR_tests	0.00657570277823442	0.1694887391089923	0.003534440243301	0.8204011178694723	0	0.34959349593495936	0.03734827264239029	0.01	sim6	rep3	rd1
ENRICH2_tests	0.08244287358211409	0.0936215683051126	0.05367417392733848	0.7702613841854348	0	0.3943236714975845	0.46825396825396826	0.01	sim6	rep3	rd1
DIMSUM_tests	0.04750945257274371	0.12855498931448298	8.21962847279303e-4	0.823113595265494	0	0.01700680272108843	0.2698412698412699	0.01	sim6	rep3	rd1
EDGER_tests	0	0.1760644418872267	0	0.8239355581127733	0	NA	0	0.01	sim6	rep3	rd1
LIMMA_tests	0	0.1760644418872267	0	0.8239355581127733	0	NA	0	0.01	sim6	rep3	rd1
ROSACE_tests	0.1524741081703107	0.02359033371691599	0.03904323524576689	0.7848923228670064	0	0.203862660944206	0.8660130718954249	0.05	sim6	rep3	rd1
SLR_tests	0.02474108170310702	0.15132336018411968	0.01356238698010849	0.8103731711326648	0	0.3540772532188841	0.14052287581699346	0.05	sim6	rep3	rd1
ENRICH2_tests	0.10323853361828043	0.07282590826894625	0.08753904323524576	0.7363965148775276	0	0.4588539422662646	0.5863678804855275	0.05	sim6	rep3	rd1
DIMSUM_tests	0.0867992766726944	0.0892651652145323	0.00320565510438928	0.820729903008384	0	0.03561643835616438	0.49299719887955185	0.05	sim6	rep3	rd1
EDGER_tests	0	0.1760644418872267	0	0.8239355581127733	0	NA	0	0.05	sim6	rep3	rd1
LIMMA_tests	0	0.1760644418872267	0	0.8239355581127733	0	NA	0	0.05	sim6	rep3	rd1
ROSACE_tests	0	0.189873417721519	0	0.810126582278481	0	NA	0	0	sim7	rep3	rd1
SLR_tests	0	0.189873417721519	0	0.810126582278481	0	NA	0	0	sim7	rep3	rd1
ENRICH2_tests	0	0.189873417721519	0	0.810126582278481	0	NA	0	0	sim7	rep3	rd1
DIMSUM_tests	0	0.189873417721519	0	0.810126582278481	0	NA	0	0	sim7	rep3	rd1
EDGER_tests	0	0.189873417721519	0	0.810126582278481	0	NA	0	0	sim7	rep3	rd1
LIMMA_tests	0	0.189873417721519	0	0.810126582278481	0	NA	0	0	sim7	rep3	rd1
ROSACE_tests	0.1134308729245438	0.07644254479697518	0.00452079566003616	0.8056057866184448	0	0.03832752613240418	0.5974025974025974	0.005	sim7	rep3	rd1
SLR_tests	0.00180831826401446	0.18806509945750452	5.753739930955121e-4	0.8095512082853855	0	0.2413793103448276	0.00952380952380952	0.005	sim7	rep3	rd1
ENRICH2_tests	0.0794838073319086	0.11038961038961038	0.04381061975998684	0.7663159625184942	0	0.35533333333333333	0.4186147186147186	0.005	sim7	rep3	rd1
DIMSUM_tests	0.02852211080059181	0.16135130692092717	8.21962847279303e-5	0.8100443859937531	0	0.0028735632183908	0.15021645021645025	0.005	sim7	rep3	rd1
EDGER_tests	0	0.189873417721519	0	0.810126582278481	0	NA	0	0.005	sim7	rep3	rd1
LIMMA_tests	0	0.189873417721519	0	0.810126582278481	0	NA	0	0.005	sim7	rep3	rd1
ROSACE_tests	0.13060989643268126	0.05926352128883774	0.00780864704915337	0.8023179352293276	0	0.05641330166270784	0.6878787878787879	0.01	sim7	rep3	rd1
SLR_tests	0.00378102909748479	0.18609238862403416	0.00180831826401446	0.8083182640144665	0	0.3235294117647059	0.01991341991341991	0.01	sim7	rep3	rd1
ENRICH2_tests	0.08778563208942956	0.10208778563208942	0.05137267795495644	0.7587539043235246	0	0.3691671588895452	0.4623376623376623	0.01	sim7	rep3	rd1
DIMSUM_tests	0.04298865691270755	0.14688476080881144	8.21962847279303e-5	0.8100443859937531	0	0.00190839694656488	0.2264069264069264	0.01	sim7	rep3	rd1
EDGER_tests	0	0.189873417721519	0	0.810126582278481	0	NA	0	0.01	sim7	rep3	rd1
LIMMA_tests	0	0.189873417721519	0	0.810126582278481	0	NA	0	0.01	sim7	rep3	rd1
ROSACE_tests	0.16455696202531644	0.02531645569620253	0.03657734670392898	0.773549235574552	0	0.18185533306089088	0.8666666666666667	0.05	sim7	rep3	rd1
SLR_tests	0.02285056715436462	0.16702285056715435	0.01274042413282919	0.7973861581456518	0	0.3579676674364896	0.12034632034632035	0.05	sim7	rep3	rd1
ENRICH2_tests	0.1139240506329114	0.0759493670886076	0.08022357389445997	0.729903008384021	0	0.4132091447925487	0.6	0.05	sim7	rep3	rd1
DIMSUM_tests	0.08852539865198093	0.10134801906953804	0.00295906625020549	0.8071675160282755	0	0.03234501347708895	0.4662337662337662	0.05	sim7	rep3	rd1
EDGER_tests	0	0.189873417721519	0	0.810126582278481	0	NA	0	0.05	sim7	rep3	rd1
LIMMA_tests	0	0.189873417721519	0	0.810126582278481	0	NA	0	0.05	sim7	rep3	rd1
ROSACE_tests	0	0.1915995397008055	0	0.8084004602991944	0	NA	0	0	sim8	rep3	rd1
SLR_tests	0	0.1915995397008055	0	0.8084004602991944	0	NA	0	0	sim8	rep3	rd1
ENRICH2_tests	0	0.1915995397008055	0	0.8084004602991944	0	NA	0	0	sim8	rep3	rd1
DIMSUM_tests	0	0.1915995397008055	0	0.8084004602991944	0	NA	0	0	sim8	rep3	rd1
EDGER_tests	0	0.1915995397008055	0	0.8084004602991944	0	NA	0	0	sim8	rep3	rd1
LIMMA_tests	0	0.1915995397008055	0	0.8084004602991944	0	NA	0	0	sim8	rep3	rd1
ROSACE_tests	0.11902022028604307	0.07257931941476245	0.00386322538221272	0.8045372349169817	0	0.031438127090301	0.6211926211926213	0.005	sim8	rep3	rd1
SLR_tests	0.0051783659378596	0.18642117376294592	0.00263028111129376	0.8057701791879007	0	0.33684210526315794	0.02702702702702702	0.005	sim8	rep3	rd1
ENRICH2_tests	0.08540193983231958	0.10619759986848594	0.04413940489889857	0.7642610554002959	0	0.34073604060913704	0.4457314457314458	0.005	sim8	rep3	rd1
DIMSUM_tests	0.03838566496794345	0.15321387473286208	1.643925694558606e-4	0.8082360677297387	0	0.00426439232409381	0.20034320034320036	0.005	sim8	rep3	rd1
EDGER_tests	0	0.1915995397008055	0	0.8084004602991944	0	NA	0	0.005	sim8	rep3	rd1
LIMMA_tests	0	0.1915995397008055	0	0.8084004602991944	0	NA	0	0.005	sim8	rep3	rd1
ROSACE_tests	0.13628144007890844	0.05531809962189709	0.00674009534769028	0.8016603649515042	0	0.04712643678160919	0.7112827112827113	0.01	sim8	rep3	rd1
SLR_tests	0.007068880486602	0.18453065921420353	0.00361663652802893	0.8047838237711655	0	0.3384615384615384	0.03689403689403689	0.01	sim8	rep3	rd1
ENRICH2_tests	0.09271740917310538	0.09888213052770016	0.05244122965641953	0.7559592306427749	0	0.36126840317100795	0.483912483912484	0.01	sim8	rep3	rd1
DIMSUM_tests	0.05482492191352951	0.136774617787276	4.931777083675817e-4	0.8079072825908269	0	0.00891530460624071	0.28614328614328616	0.01	sim8	rep3	rd1
EDGER_tests	0	0.1915995397008055	0	0.8084004602991944	0	NA	0	0.01	sim8	rep3	rd1
LIMMA_tests	0	0.1915995397008055	0	0.8084004602991944	0	NA	0	0.01	sim8	rep3	rd1
ROSACE_tests	0.1673516357060661	0.02424790399473943	0.03279631760644419	0.7756041426927502	0	0.16386036960985628	0.8734448734448734	0.05	sim8	rep3	rd1
SLR_tests	0.02646720368239355	0.16513233601841196	0.01635706066085813	0.7920433996383364	0	0.381957773512476	0.13813813813813816	0.05	sim8	rep3	rd1
