test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim
SLR_tests	0	0.2422432387589182	0	0.7577567612410818	0	NA	0	0	sim7
ENRICH2_tests	6.63680106188817e-4	0.2415795586527294	3.318400530944085e-4	0.7574249211879874	0	0.33333333333333337	0.00273972602739726	0	sim7
EDGER_tests	0	0.2422432387589182	0	0.7577567612410818	0	NA	0	0	sim7
LIMMA_tests	0	0.2422432387589182	0	0.7577567612410818	0	NA	0	0	sim7
ROSACE_tests	0.2377633980421437	0.00447984071677451	0.01343952215032354	0.7443172390907583	0	0.053500660501981497	0.9815068493150684	0.005	sim7
SLR_tests	0.01891488302638128	0.22332835573253693	0	0.7577567612410818	0	0	0.07808219178082192	0.005	sim7
ENRICH2_tests	0.08030529284884685	0.16193794591007135	0.03683424589347934	0.7209225153476024	0	0.31444759206798867	0.33150684931506846	0.005	sim7
EDGER_tests	0.00182512029201924	0.24041811846689895	0	0.7577567612410818	0	0	0.00753424657534246	0.005	sim7
LIMMA_tests	0.08528289364526298	0.15696034511365525	0	0.7577567612410818	0	0	0.35205479452054794	0.005	sim7
ROSACE_tests	0.23875891820142692	0.00348432055749128	0.01908080305292849	0.7386759581881533	0	0.074002574002574	0.9856164383561644	0.01	sim7
SLR_tests	0.03318400530944085	0.20905923344947736	3.318400530944085e-4	0.7574249211879874	0	0.0099009900990099	0.136986301369863	0.01	sim7
ENRICH2_tests	0.08727393396382943	0.15496930479508875	0.04164592666334826	0.7161108345777335	0	0.323037323037323	0.3602739726027397	0.01	sim7
EDGER_tests	0.0155964824954372	0.226646756263481	0	0.7577567612410818	0	0	0.06438356164383563	0.01	sim7
LIMMA_tests	0.10668657706985234	0.13555666168906588	3.318400530944085e-4	0.7574249211879874	0	0.00310077519379844	0.44041095890410953	0.01	sim7
ROSACE_tests	0.2410817985730878	0.00116144018583042	0.0585697693711631	0.6991869918699187	0	0.1954595791805094	0.9952054794520548	0.05	sim7
SLR_tests	0.10469553675128589	0.13754770200763233	0.00265472042475526	0.7551020408163265	0	0.02472952086553323	0.4321917808219178	0.05	sim7
ENRICH2_tests	0.11863281898125104	0.12361041977766717	0.06354737016757922	0.6942093910735025	0	0.3488160291438979	0.4897260273972603	0.05	sim7
EDGER_tests	0.06968641114982578	0.1725568276090924	0	0.7577567612410818	0	0	0.28767123287671237	0.05	sim7
LIMMA_tests	0.16309938609590177	0.07914385266301642	9.955201592832257e-4	0.7567612410817985	0	0.00606673407482305	0.6732876712328768	0.05	sim7
ROSACE_tests	0	0.2887008461921354	0	0.7112991538078646	0	NA	0	0	sim8
SLR_tests	0	0.2887008461921354	0	0.7112991538078646	0	NA	0	0	sim8
ENRICH2_tests	1.6592002654720425e-4	0.2885349261655882	3.318400530944085e-4	0.7109673137547702	0	0.6666666666666667	5.747126436781609e-4	0	sim8
EDGER_tests	0	0.2887008461921354	0	0.7112991538078646	0	NA	0	0	sim8
LIMMA_tests	0	0.2887008461921354	0	0.7112991538078646	0	NA	0	0	sim8
ROSACE_tests	0.28222996515679444	0.00647088103534096	0.01443504230960677	0.6968641114982579	0	0.04865771812080536	0.9775862068965516	0.005	sim8
SLR_tests	0.02057408329185332	0.2681267629002821	1.6592002654720425e-4	0.7111332337813174	0	0.008	0.07126436781609194	0.005	sim8
ENRICH2_tests	0.0939107350257176	0.19479011116641776	0.03202256512361041	0.6792765886842542	0	0.25428194993412384	0.3252873563218391	0.005	sim8
EDGER_tests	0.00481168076986892	0.28388916542226644	0	0.7112991538078646	0	0	0.01666666666666667	0.005	sim8
LIMMA_tests	0.10038161606105855	0.1883192301310768	0	0.7112991538078646	0	0	0.34770114942528735	0.005	sim8
ROSACE_tests	0.28305956528953047	0.00564128090260494	0.02206736353077816	0.6892317902770865	0	0.07232191408374115	0.9804597701149425	0.01	sim8
SLR_tests	0.04927824788451966	0.23942259830761572	1.6592002654720425e-4	0.7111332337813174	0	0.00335570469798657	0.1706896551724138	0.01	sim8
ENRICH2_tests	0.10220673635307782	0.18649410983905756	0.03700016592002655	0.674298987887838	0	0.265792610250298	0.35402298850574715	0.01	sim8
EDGER_tests	0.01642608262817322	0.2722747635639622	0	0.7112991538078646	0	0	0.05689655172413792	0.01	sim8
LIMMA_tests	0.12161937945910072	0.16708146673303467	0	0.7112991538078646	0	0	0.421264367816092	0.01	sim8
ROSACE_tests	0.28604612576738014	0.00265472042475526	0.06222000995520159	0.649079143852663	0	0.1786565030967127	0.9908045977011494	0.05	sim8
SLR_tests	0.1294176207068193	0.1592832254853161	0.00282064045130247	0.7084785133565621	0	0.02132998745294855	0.4482758620689655	0.05	sim8
