test	num_na	corr_pearson	corr_spearman	sim	rep	rd	mode
ROSACENP_effects	7	0.5328513061543871	0.26348099751702087	sim3	rep1	rd1	pos
SLR_effects	7	0.5739702463202727	0.2692427672641397	sim3	rep1	rd1	pos
DIMSUM_effects	64	0.1506288305741709	0.1001090664589382	sim3	rep1	rd1	pos
ENRICH2_effects	0	0.5998671242431461	0.30075987172439445	sim4	rep1	rd1	pos
ROSACE_effects	5	0.6528208488251832	0.30170528083527104	sim4	rep1	rd1	pos
ROSACENP_effects	5	0.543549534165758	0.2925282992053745	sim4	rep1	rd1	pos
SLR_effects	5	0.6032792334148886	0.2992963839078293	sim4	rep1	rd1	pos
DIMSUM_effects	73	0.23082867929011175	0.1311427782275665	sim4	rep1	rd1	pos
ENRICH2_effects	0	0.6963012497774183	0.3891166365263645	sim5	rep1	rd1	pos
ROSACE_effects	7	0.7438487312891612	0.3958765707201873	sim5	rep1	rd1	pos
ROSACENP_effects	7	0.5840296416586946	0.3741135979158719	sim5	rep1	rd1	pos
SLR_effects	7	0.7007572786000267	0.3911977265543314	sim5	rep1	rd1	pos
DIMSUM_effects	122	0.26989117701928617	0.17902669190855575	sim5	rep1	rd1	pos
ENRICH2_effects	0	0.3406810979404184	0.13989120850106734	sim6	rep1	rd1	pos
ROSACE_effects	5	0.3850428726074154	0.13622706598329803	sim6	rep1	rd1	pos
ROSACENP_effects	5	0.33355986631642237	0.1362033066796591	sim6	rep1	rd1	pos
SLR_effects	5	0.34009868336613025	0.13620334736868928	sim6	rep1	rd1	pos
DIMSUM_effects	20	NA	NA	sim6	rep1	rd1	pos
ENRICH2_effects	0	0.7445315517837982	0.4456230240750812	sim7	rep1	rd1	pos
ROSACE_effects	11	0.7847280101213419	0.44220627996195017	sim7	rep1	rd1	pos
ROSACENP_effects	11	0.6301849192872622	0.416926810972077	sim7	rep1	rd1	pos
SLR_effects	11	0.7471409859147081	0.438338645695609	sim7	rep1	rd1	pos
DIMSUM_effects	170	0.28428966172029746	0.19113392778964505	sim7	rep1	rd1	pos
ENRICH2_effects	0	0.468307557733965	0.19713319284767755	sim8	rep1	rd1	pos
ROSACE_effects	3	0.5141567898299289	0.1946917167882539	sim8	rep1	rd1	pos
ROSACENP_effects	3	0.453712067963709	0.19445389535773516	sim8	rep1	rd1	pos
SLR_effects	3	0.4665357414904619	0.19452836972067197	sim8	rep1	rd1	pos
DIMSUM_effects	39	0.08471283811263289	0.0463621633870174	sim8	rep1	rd1	pos
ENRICH2_effects	0	0.5756901743118389	0.2909592257335228	sim9	rep1	rd1	pos
ROSACE_effects	8	0.6220043496697775	0.28688294672024994	sim9	rep1	rd1	pos
ROSACENP_effects	8	0.5274658104809369	0.2803180269366555	sim9	rep1	rd1	pos
SLR_effects	8	0.5740112485683501	0.2825713471971978	sim9	rep1	rd1	pos
