test	num_na	corr_pearson	corr_spearman	sim	rep	rd	mode
ROSACENP_effects	1	0.6652934784816169	0.6478472427702615	sim3	rep1	rd1	pos
SLR_effects	1	0.7870936825064977	0.6758518612787453	sim3	rep1	rd1	pos
DIMSUM_effects	5	0.784006511489971	0.675872490821615	sim3	rep1	rd1	pos
ENRICH2_effects	0	0.7831485139378909	0.6685718286249595	sim4	rep1	rd1	pos
ROSACE_effects	2	0.8245956767156404	0.6741161922080497	sim4	rep1	rd1	pos
ROSACENP_effects	2	0.6629418642663001	0.6425071405717357	sim4	rep1	rd1	pos
SLR_effects	2	0.7832038930674919	0.6686157398921053	sim4	rep1	rd1	pos
DIMSUM_effects	9	0.7816560893516549	0.6686860979169998	sim4	rep1	rd1	pos
ENRICH2_effects	0	0.7755375410846791	0.6459306249627533	sim5	rep1	rd1	pos
ROSACE_effects	0	0.8178459261722082	0.6507643758881752	sim5	rep1	rd1	pos
ROSACENP_effects	0	0.6305853994577117	0.6141387100880494	sim5	rep1	rd1	pos
SLR_effects	0	0.7755375410846791	0.6459306249627533	sim5	rep1	rd1	pos
DIMSUM_effects	4	0.7727531419054557	0.645951516285746	sim5	rep1	rd1	pos
ENRICH2_effects	0	0.7859683664947882	0.6566375196539483	sim6	rep1	rd1	pos
ROSACE_effects	0	0.8276609461199766	0.661333539993832	sim6	rep1	rd1	pos
ROSACENP_effects	0	0.6709847014817417	0.63494704638186	sim6	rep1	rd1	pos
SLR_effects	0	0.7859683664947882	0.6566375196539483	sim6	rep1	rd1	pos
DIMSUM_effects	7	0.7843013213606214	0.6567249457981243	sim6	rep1	rd1	pos
ENRICH2_effects	0	0.7902833420134859	0.6893562225355006	sim7	rep1	rd1	pos
ROSACE_effects	0	0.8298252646901899	0.6948431218832349	sim7	rep1	rd1	pos
ROSACENP_effects	0	0.6932905245212408	0.6685090348662976	sim7	rep1	rd1	pos
SLR_effects	0	0.7902833420134859	0.6893562225355006	sim7	rep1	rd1	pos
DIMSUM_effects	9	0.7883777407702885	0.6894841806416118	sim7	rep1	rd1	pos
ENRICH2_effects	0	0.7867370017770032	0.6743083880624604	sim8	rep1	rd1	pos
ROSACE_effects	0	0.8271299082053069	0.6792835013761382	sim8	rep1	rd1	pos
ROSACENP_effects	0	0.6698187651243244	0.6496389094316125	sim8	rep1	rd1	pos
SLR_effects	0	0.7867370017770032	0.6743083880659048	sim8	rep1	rd1	pos
DIMSUM_effects	8	0.7847842271644052	0.6744278071238003	sim8	rep1	rd1	pos
ENRICH2_effects	0	0.7934443774635312	0.6814469279253725	sim9	rep1	rd1	pos
ROSACE_effects	1	0.8341098231125037	0.686048145557922	sim9	rep1	rd1	pos
ROSACENP_effects	1	0.6873516318422049	0.6593600331075339	sim9	rep1	rd1	pos
SLR_effects	1	0.7934678622383153	0.6814686213344673	sim9	rep1	rd1	pos
